Партер, Левая сторона, Ряд 13, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 24- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 25- 12000 руб.
Партер, Левая сторона, Ряд 13, Место 26- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 10- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 11- 12000 руб.
Партер, Правая сторона, Ряд 14, Место 12- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 13- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 14- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 15- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 16- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 17- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 14, Место 24- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 15, Место 10- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 11- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 12- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 13- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 14- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 15- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 16- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 17- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 15, Место 20- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 16, Место 7- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 8- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 9- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 10- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 11- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 12- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 13- 12000 руб.
Партер, Левая сторона, Ряд 16, Место 14- 12000 руб.
Партер, Правая сторона, Ряд 17, Место 1- 10800 руб.
Партер, Правая сторона, Ряд 17, Место 2- 10800 руб.
Партер, Правая сторона, Ряд 17, Место 3- 10800 руб.
Партер, Левая сторона, Ряд 17, Место 4- 10800 руб.
Партер, Левая сторона, Ряд 17, Место 5- 10800 руб.
Партер, Левая сторона, Ряд 17, Место 6- 10800 руб.
Амфитеатр, Правая сторона, Ряд 1, Место 1- 12000 руб.
Амфитеатр, Правая сторона, Ряд 1, Место 2- 12000 руб.
Амфитеатр, Правая сторона, Ряд 1, Место 3- 12000 руб.
Амфитеатр, Правая сторона, Ряд 1, Место 4- 12000 руб.
